date,home_team,away_team,winner,first_shooter,home_shot_first,home_team_won,year,is_recent,prior_matchup_count
2006-02-04,Cameroon,Ivory Coast,Ivory Coast,Cameroon,1,0,2006,1,1
2006-02-10,Egypt,Ivory Coast,Egypt,Egypt,1,1,2006,1,1
2006-06-26,Switzerland,Ukraine,Ukraine,Ukraine,0,0,2006,1,0
2006-06-30,Germany,Argentina,Germany,Germany,1,1,2006,1,0
2006-07-01,England,Portugal,Portugal,Portugal,0,0,2006,1,1
2006-07-09,Italy,France,Italy,Italy,1,1,2006,1,1
2007-07-10,Uruguay,Brazil,Brazil,Brazil,0,0,2007,1,2
2007-07-21,Japan,Australia,Japan,Australia,0,1,2007,1,0
2007-07-22,Iran,South Korea,South Korea,South Korea,0,0,2007,1,0
2007-07-25,Iraq,South Korea,Iraq,South Korea,0,1,2007,1,0
2007-07-28,South Korea,Japan,South Korea,South Korea,1,1,2007,1,0
2008-06-20,Croatia,Turkey,Turkey,Croatia,1,0,2008,1,0
2008-06-22,Spain,Italy,Spain,Spain,1,1,2008,1,0
2009-07-23,Costa Rica,Mexico,Mexico,Mexico,0,0,2009,1,0
2010-01-25,Zambia,Nigeria,Nigeria,Zambia,1,0,2010,1,0
2010-06-29,Paraguay,Japan,Paraguay,Paraguay,1,1,2010,1,0
2010-07-02,Uruguay,Ghana,Uruguay,Uruguay,1,1,2010,1,0
2011-01-25,Japan,South Korea,Japan,Japan,1,1,2011,1,1
2011-06-08,Uruguay,Netherlands,Uruguay,Netherlands,0,1,2011,1,0
2011-06-18,Costa Rica,Honduras,Honduras,Costa Rica,1,0,2011,1,0
2011-06-19,Panama,El Salvador,Panama,Panama,1,1,2011,1,0
2011-07-16,Argentina,Uruguay,Uruguay,Argentina,1,0,2011,1,0
2011-07-17,Brazil,Paraguay,Paraguay,Brazil,1,0,2011,1,0
2011-07-20,Paraguay,Venezuela,Paraguay,Paraguay,1,1,2011,1,0
2012-02-05,Gabon,Mali,Mali,Gabon,1,0,2012,1,0
2012-02-12,Zambia,Ivory Coast,Zambia,Ivory Coast,0,1,2012,1,0
2012-06-03,Finland,Latvia,Latvia,Finland,1,0,2012,1,0
2012-06-24,England,Italy,Italy,Italy,0,0,2012,1,0
2012-06-27,Portugal,Spain,Spain,Spain,0,0,2012,1,0
2012-11-21,Argentina,Brazil,Brazil,Argentina,1,0,2012,1,3
2013-02-02,South Africa,Mali,Mali,South Africa,1,0,2013,1,0
2013-02-06,Burkina Faso,Ghana,Burkina Faso,Ghana,0,1,2013,1,0
2013-06-27,Spain,Italy,Spain,Italy,0,1,2013,1,1
2013-06-30,Uruguay,Italy,Italy,Uruguay,1,0,2013,1,0
2014-05-29,Latvia,Estonia,Latvia,Estonia,0,1,2014,1,0
2014-06-28,Brazil,Chile,Brazil,Brazil,1,1,2014,1,0
2014-06-29,Costa Rica,Greece,Costa Rica,Costa Rica,1,1,2014,1,0
2014-07-05,Netherlands,Costa Rica,Netherlands,Costa Rica,0,1,2014,1,0
2014-07-09,Netherlands,Argentina,Argentina,Netherlands,1,0,2014,1,1
2015-01-23,Iran,Iraq,Iraq,Iran,1,0,2015,1,0
2015-01-23,Japan,United Arab Emirates,United Arab Emirates,Japan,1,0,2015,1,0
2015-02-07,Equatorial Guinea,DR Congo,DR Congo,Equatorial Guinea,1,0,2015,1,0
2015-02-08,Ivory Coast,Ghana,Ivory Coast,Ghana,0,1,2015,1,1
2015-06-26,Argentina,Colombia,Argentina,Colombia,0,1,2015,1,1
2015-06-27,Brazil,Paraguay,Paraguay,Brazil,1,0,2015,1,1
2015-07-04,Chile,Argentina,Chile,Chile,1,1,2015,1,0
2015-07-19,Trinidad and Tobago,Panama,Panama,Panama,0,0,2015,1,0
2015-07-25,United States,Panama,Panama,United States,1,0,2015,1,1
2016-06-04,United Koreans in Japan,Iraqi Kurdistan,United Koreans in Japan,United Koreans in Japan,1,1,2016,1,0
2016-06-11,Papua New Guinea,New Zealand,New Zealand,New Zealand,0,0,2016,1,0
2016-06-17,Peru,Colombia,Colombia,Colombia,0,0,2016,1,0
2016-06-25,Switzerland,Poland,Poland,Switzerland,1,0,2016,1,0
2016-06-26,Argentina,Chile,Chile,Chile,0,0,2016,1,1
2016-06-30,Poland,Portugal,Portugal,Portugal,0,0,2016,1,0
2016-07-02,Germany,Italy,Germany,Italy,0,1,2016,1,0
2016-11-12,Macau,Brunei,Macau,Brunei,0,1,2016,1,0
2017-01-28,Senegal,Cameroon,Cameroon,Senegal,1,0,2017,1,1
2017-02-01,Burkina Faso,Egypt,Egypt,Egypt,0,0,2017,1,0
2017-06-28,Portugal,Chile,Chile,Chile,0,0,2017,1,0
2018-07-01,Russia,Spain,Russia,Spain,0,1,2018,1,0
2018-07-01,Croatia,Denmark,Croatia,Denmark,0,1,2018,1,0
2018-07-03,Colombia,England,England,Colombia,1,0,2018,1,0
2018-07-07,Russia,Croatia,Croatia,Russia,1,0,2018,1,0
2019-01-20,Jordan,Vietnam,Vietnam,Vietnam,0,0,2019,1,0
2019-01-21,Australia,Uzbekistan,Australia,Australia,1,1,2019,1,0
2019-06-09,Switzerland,England,England,England,0,0,2019,1,0
2019-06-27,Brazil,Paraguay,Brazil,Paraguay,0,1,2019,1,2
2019-06-28,Colombia,Chile,Chile,Colombia,1,0,2019,1,0
2019-06-29,Mexico,Costa Rica,Mexico,Mexico,1,1,2019,1,1
2019-06-29,Uruguay,Peru,Peru,Uruguay,1,0,2019,1,0
2019-07-05,Morocco,Benin,Benin,Benin,0,0,2019,1,0
2019-07-07,Madagascar,DR Congo,Madagascar,Madagascar,1,1,2019,1,0
2019-07-08,Ghana,Tunisia,Tunisia,Ghana,1,0,2019,1,0
2019-07-11,Ivory Coast,Algeria,Algeria,Algeria,0,0,2019,1,0
2019-09-08,Tanzania,Burundi,Tanzania,Tanzania,1,1,2019,1,0
2020-10-08,Bosnia and Herzegovina,Northern Ireland,Northern Ireland,Bosnia and Herzegovina,1,0,2020,1,0
